fighter1,fighter2,event,fight_outcome,origin_fight_url,fighter1_Name,fighter1_Nickname,fighter1_Record,fighter1_Height,fighter1_Weight,fighter1_Reach,fighter1_Stance,fighter1_DOB,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Name,fighter2_Nickname,fighter2_Record,fighter2_Height,fighter2_Weight,fighter2_Reach,fighter2_Stance,fighter2_DOB,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg
Khamzat Chimaev,Kevin Holland,UFC 279: Diaz vs. Ferguson,fighter1,http://ufcstats.com/fight-details/0111e6a64b5184c6,Khamzat Chimaev,Borz,Record: 14-0-0,"6' 2""",185 lbs.,"75""",Orthodox,"May 01, 1994",5.36,58%,3.25,41%,4.31,46%,100%,2.8,Kevin Holland,Trailblazer,Record: 26-13-0 (1 NC),"6' 3""",170 lbs.,"81""",Orthodox,"Nov 05, 1992",4.22,49%,3.22,50%,0.82,38%,53%,0.6
Benoit Saint Denis,Gabriel Miranda,UFC Fight Night: Gane vs. Tuivasa,fighter1,http://ufcstats.com/fight-details/3e2f00991f511607,Benoit Saint Denis,God of War,Record: 13-3-0 (1 NC),"5' 11""",155 lbs.,"73""",Southpaw,"Dec 18, 1995",5.17,53%,4.98,41%,3.97,37%,68%,1.2,Gabriel Miranda,Fly,Record: 17-7-0,"5' 11""",145 lbs.,"71""",Orthodox,"Mar 25, 1990",2.82,40%,5.30,37%,3.85,33%,0%,1.3
Fares Ziam,Michal Figlak,UFC Fight Night: Gane vs. Tuivasa,fighter1,http://ufcstats.com/fight-details/fd47032108b85cf0,Fares Ziam,Smile Killer,Record: 17-4-0,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 21, 1997",2.85,51%,1.62,64%,1.62,40%,70%,0.2,Michal Figlak,Mad Dog,Record: 8-2-0,"5' 10""",155 lbs.,"70""",Orthodox,"Aug 15, 1996",4.00,39%,4.93,52%,0.50,12%,57%,0.0
Nate Diaz,Tony Ferguson,UFC 279: Diaz vs. Ferguson,fighter1,http://ufcstats.com/fight-details/7e8fd03e070d0c25,Nate Diaz,,Record: 22-13-0,"6' 0""",170 lbs.,"76""",Southpaw,"Apr 16, 1985",4.57,45%,3.77,52%,1.05,30%,41%,1.3,Tony Ferguson,El Cucuy,Record: 26-11-0,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 12, 1984",4.91,45%,4.37,55%,0.39,35%,66%,0.9
Abus Magomedov,Dustin Stoltzfus,UFC Fight Night: Gane vs. Tuivasa,fighter1,http://ufcstats.com/fight-details/cf9035f2fc2e232f,Abus Magomedov,,Record: 27-6-1,"6' 2""",185 lbs.,"78""",Orthodox,"Sep 02, 1990",2.65,44%,3.35,55%,3.12,64%,100%,0.3,Dustin Stoltzfus,,Record: 16-6-0,"6' 0""",185 lbs.,"75""",Orthodox,"Nov 15, 1991",3.47,44%,3.29,46%,2.31,41%,46%,1.1
John Makdessi,Nasrat Haqparast,UFC Fight Night: Gane vs. Tuivasa,fighter2,http://ufcstats.com/fight-details/7bced112f3229b1b,John Makdessi,The Bull,Record: 18-9-0,"5' 8""",155 lbs.,"68""",Orthodox,"May 03, 1985",5.52,49%,4.15,68%,0.00,0%,86%,0.0,Nasrat Haqparast,,Record: 17-5-0,"5' 10""",155 lbs.,"72""",Southpaw,"Aug 22, 1995",6.15,44%,5.65,62%,0.28,20%,84%,0.0
Alessio Di Chirico,Roman Kopylov,UFC Fight Night: Gane vs. Tuivasa,fighter2,http://ufcstats.com/fight-details/1a191251620a84ca,Alessio Di Chirico,Manzo,Record: 13-7-0,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989",3.32,39%,3.44,61%,1.46,39%,83%,0.0,Roman Kopylov,,Record: 14-3-0,"6' 0""",185 lbs.,"75""",Southpaw,"May 04, 1991",4.96,50%,4.86,55%,1.17,42%,87%,0.0
Robert Whittaker,Marvin Vettori,UFC Fight Night: Gane vs. Tuivasa,fighter1,http://ufcstats.com/fight-details/b8ca1acdf3dc2f58,Robert Whittaker,The Reaper,Record: 27-8-0,"6' 0""",185 lbs.,"73""",Orthodox,"Dec 20, 1990",4.54,43%,3.41,59%,0.80,38%,81%,0.0,Marvin Vettori,The Italian Dream,Record: 19-7-1,"6' 0""",185 lbs.,"74""",Southpaw,"Sep 20, 1993",4.56,45%,4.24,56%,1.66,45%,69%,0.5
Charles Jourdain,Nathaniel Wood,UFC Fight Night: Gane vs. Tuivasa,fighter2,http://ufcstats.com/fight-details/acc9a109b00a99e1,Charles Jourdain,Air,Record: 16-8-1,"5' 9""",135 lbs.,"69""",Switch,"Nov 27, 1995",5.43,48%,4.27,56%,0.34,21%,47%,0.6,Nathaniel Wood,The Prospect,Record: 20-6-0,"5' 6""",145 lbs.,"69""",Orthodox,"May 08, 1993",5.75,51%,4.00,56%,1.56,48%,72%,0.5
William Gomis,Jarno Errens,UFC Fight Night: Gane vs. Tuivasa,fighter1,http://ufcstats.com/fight-details/398db40015b3c81c,William Gomis,Jaguar,Record: 14-2-0,"6' 0""",145 lbs.,"73""",Southpaw,"Jun 13, 1997",2.69,50%,1.60,71%,0.78,37%,70%,0.5,Jarno Errens,,Record: 14-6-1,"5' 11""",145 lbs.,"73""",Orthodox,"Nov 17, 1994",3.29,44%,3.29,61%,0.00,0%,33%,0.3
Ciryl Gane,Tai Tuivasa,UFC Fight Night: Gane vs. Tuivasa,fighter1,http://ufcstats.com/fight-details/810c9da07970c4a6,Ciryl Gane,Bon Gamin,Record: 13-2-0,"6' 4""",245 lbs.,"81""",Orthodox,"Apr 12, 1990",5.26,61%,2.23,61%,0.70,25%,43%,0.6,Tai Tuivasa,Bam Bam,Record: 15-8-0,"6' 2""",264 lbs.,"75""",Southpaw,"Mar 16, 1993",3.77,46%,5.18,44%,0.00,0%,57%,0.0
Jason Witt,Josh Quinlan,UFC Fight Night: Vera vs. Cruz,fighter2,http://ufcstats.com/fight-details/7f9a331bc3100afd,Jason Witt,The Vanilla Gorilla,Record: 19-9-0,"5' 10""",170 lbs.,"70""",Orthodox,"Nov 07, 1986",2.15,44%,2.54,52%,6.90,48%,100%,0.9,Josh Quinlan,Bushido,Record: 6-3-0 (1 NC),"6' 0""",170 lbs.,"72""",Orthodox,"Feb 06, 1993",3.57,42%,6.38,53%,0.34,11%,71%,0.0
Nassourdine Imavov,Joaquin Buckley,UFC Fight Night: Gane vs. Tuivasa,fighter1,http://ufcstats.com/fight-details/20f316f96c9e4458,Nassourdine Imavov,The Sniper,Record: 16-4-0 (1 NC),"6' 3""",185 lbs.,"75""",Orthodox,"Mar 01, 1995",4.45,55%,3.26,58%,0.85,32%,78%,1.1,Joaquin Buckley,New Mansa,Record: 21-6-0,"5' 10""",170 lbs.,"76""",Southpaw,"Apr 27, 1994",4.22,37%,3.13,59%,1.78,45%,73%,0.1
Cynthia Calvillo,Nina Nunes,UFC Fight Night: Vera vs. Cruz,fighter2,http://ufcstats.com/fight-details/8986373b4a6e90b6,Cynthia Calvillo,,Record: 9-6-1,"5' 4""",115 lbs.,"64""",Orthodox,"Jul 13, 1987",4.41,38%,4.12,64%,1.80,44%,77%,0.8,Nina Nunes,,Record: 11-7-0,"5' 5""",125 lbs.,"64""",Orthodox,"Dec 03, 1985",4.39,45%,3.47,55%,0.24,33%,73%,0.5
Bruno Silva,Gerald Meerschaert,UFC Fight Night: Vera vs. Cruz,fighter2,http://ufcstats.com/fight-details/38b6ef176439c39b,Bruno Silva,Bulldog,Record: 14-6-2 (1 NC),"5' 4""",125 lbs.,"65""",Orthodox,"Mar 16, 1990",3.54,49%,4.08,52%,1.92,25%,60%,0.2,Gerald Meerschaert,GM3,Record: 37-18-0,"6' 1""",185 lbs.,"77""",Southpaw,"Dec 18, 1987",3.10,45%,3.45,53%,2.01,35%,42%,1.5
Ode Osbourne,Tyson Nam,UFC Fight Night: Vera vs. Cruz,fighter2,http://ufcstats.com/fight-details/0823f97be9c3a62e,Ode Osbourne,The Jamaican Sensation,Record: 12-8-0 (1 NC),"5' 7""",125 lbs.,"73""",Southpaw,"Jan 09, 1992",3.26,40%,4.01,45%,1.21,28%,63%,0.6,Tyson Nam,,Record: 21-14-1,"5' 7""",125 lbs.,"68""",Orthodox,"Oct 06, 1983",3.87,33%,4.97,65%,0.00,0%,87%,0.0
Martin Buday,Lukasz Brzeski,UFC Fight Night: Vera vs. Cruz,fighter1,http://ufcstats.com/fight-details/b96c8fef6c9f92db,Martin Buday,Badys,Record: 14-2-0,"6' 4""",265 lbs.,"77""",Orthodox,"Nov 11, 1991",4.84,53%,5.54,52%,0.21,25%,100%,0.2,Lukasz Brzeski,The Bull,Record: 9-6-1 (1 NC),"6' 4""",236 lbs.,"78""",Orthodox,"May 17, 1992",5.02,50%,3.68,54%,0.43,33%,36%,0.4
Angela Hill,Loopy Godinez,UFC Fight Night: Vera vs. Cruz,fighter1,http://ufcstats.com/fight-details/5f31f3e32669f5b9,Angela Hill,Overkill,Record: 18-14-0,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985",5.47,50%,4.92,61%,0.81,32%,75%,0.1,Loopy Godinez,,Record: 12-5-0,"5' 2""",115 lbs.,"61""",Orthodox,"Sep 06, 1993",4.16,48%,3.69,63%,2.95,47%,81%,1.0
Gabriel Benitez,Charlie Ontiveros,UFC Fight Night: Vera vs. Cruz,fighter1,http://ufcstats.com/fight-details/f858f91453555291,Gabriel Benitez,Moggly,Record: 23-13-0,"5' 8""",155 lbs.,"71""",Southpaw,"Jun 15, 1988",5.26,41%,4.49,63%,0.22,50%,55%,0.9,Charlie Ontiveros,American Bad Boy,Record: 11-9-0,"6' 2""",155 lbs.,"74""",Switch,"Jul 04, 1991",1.89,41%,5.86,31%,0.00,0%,30%,0.0
Yazmin Jauregui,Iasmin Lucindo,UFC Fight Night: Vera vs. Cruz,fighter1,http://ufcstats.com/fight-details/833d67f423315d18,Yazmin Jauregui,,Record: 11-2-0,"5' 3""",115 lbs.,"64""",Orthodox,"Feb 28, 1999",6.64,39%,5.25,54%,0.00,0%,100%,0.0,Iasmin Lucindo,,Record: 17-5-0,"5' 3""",115 lbs.,"66""",Orthodox,"Jan 08, 2002",3.52,45%,2.91,66%,2.40,57%,66%,0.2
Priscila Cachoeira,Ariane da Silva,UFC Fight Night: Vera vs. Cruz,fighter1,http://ufcstats.com/fight-details/abd50fad1e7b030b,Priscila Cachoeira,Zombie Girl,Record: 12-6-0,"5' 7""",135 lbs.,"65""",Orthodox,"Aug 19, 1988",3.76,44%,7.03,43%,0.15,33%,65%,0.0,Ariane da Silva,Queen of Violence,Record: 17-10-0,"5' 6""",125 lbs.,"67""",Orthodox,"Jan 26, 1994",4.04,41%,3.87,53%,0.52,55%,68%,0.3
Nate Landwehr,David Onama,UFC Fight Night: Vera vs. Cruz,fighter1,http://ufcstats.com/fight-details/efd7efba85092c6f,Nate Landwehr,The Train,Record: 18-6-0,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 06, 1988",5.59,46%,5.77,52%,0.85,41%,74%,0.8,David Onama,,Record: 13-2-0,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 07, 1994",5.60,50%,5.07,52%,0.73,20%,52%,0.6
Marlon Vera,Dominick Cruz,UFC Fight Night: Vera vs. Cruz,fighter1,http://ufcstats.com/fight-details/11cc331fa40ede63,Marlon Vera,Chito,Record: 23-10-1,"5' 8""",135 lbs.,"70""",Switch,"Dec 02, 1992",4.27,49%,5.37,50%,0.51,39%,72%,0.8,Dominick Cruz,The Dominator,Record: 24-4-0,"5' 8""",135 lbs.,"68""",Orthodox,"Mar 09, 1985",3.91,33%,2.61,70%,2.82,42%,83%,0.1
Devin Clark,Azamat Murzakanov,UFC Fight Night: Vera vs. Cruz,fighter2,http://ufcstats.com/fight-details/d19e010f071a4b45,Devin Clark,Brown Bear,Record: 14-9-0,"6' 0""",205 lbs.,"75""",Orthodox,"Apr 12, 1990",3.03,54%,3.24,44%,2.17,32%,58%,0.1,Azamat Murzakanov,The Professional,Record: 14-0-0,"5' 10""",205 lbs.,"71""",Southpaw,"Apr 12, 1989",4.72,56%,2.90,61%,0.62,15%,83%,0.0
Aoriqileng,Jay Perrin,UFC 278: Usman vs. Edwards,fighter1,http://ufcstats.com/fight-details/d497d74a0df9e35e,Aoriqileng,The Mongolian Murderer,Record: 25-12-0 (1 NC),"5' 7""",135 lbs.,"69""",Orthodox,"Jun 25, 1993",4.65,49%,5.46,48%,1.20,46%,58%,0.0,Jay Perrin,The Joker,Record: 10-7-0,"5' 7""",135 lbs.,"67""",Switch,"Jun 15, 1993",3.71,46%,3.90,44%,2.83,52%,58%,0.0
Daniel Lacerda,Victor Altamirano,UFC 278: Usman vs. Edwards,fighter2,http://ufcstats.com/fight-details/06d6cde7479711ee,Daniel Lacerda,Miojo,Record: 11-6-0 (1 NC),"5' 6""",125 lbs.,"70""",Switch,"Jun 05, 1996",3.95,45%,8.28,34%,2.32,50%,0%,1.2,Victor Altamirano,El Magnifico,Record: 12-5-0,"5' 8""",125 lbs.,"70""",Switch,"Jan 23, 1991",4.58,53%,3.82,53%,2.88,38%,63%,0.0
Amir Albazi,Francisco Figueiredo,UFC 278: Usman vs. Edwards,fighter1,http://ufcstats.com/fight-details/6b9f82291930bfec,Amir Albazi,The Prince,Record: 17-2-0,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",2.72,34%,3.71,61%,1.39,32%,50%,0.5,Francisco Figueiredo,Sniper,Record: 13-5-1 (1 NC),"5' 6""",125 lbs.,"68""",Southpaw,"Oct 23, 1989",2.04,61%,2.59,61%,2.51,75%,76%,0.4
Sean Woodson,Luis Saldana,UFC 278: Usman vs. Edwards,,http://ufcstats.com/fight-details/2ac9b3ccb43422d8,Sean Woodson,The Sniper,Record: 13-1-1,"6' 2""",145 lbs.,"78""",Orthodox,"Jun 07, 1992",5.66,46%,4.20,58%,0.63,62%,84%,0.4,Luis Saldana,,Record: 16-7-1,"5' 11""",145 lbs.,"73""",Orthodox,"Jan 27, 1991",5.16,50%,3.65,60%,0.64,17%,44%,0.2
AJ Fletcher,Ange Loosa,UFC 278: Usman vs. Edwards,fighter2,http://ufcstats.com/fight-details/4dac5258f22be059,AJ Fletcher,The Ghost,Record: 10-3-0,"5' 10""",170 lbs.,"67""",Switch,"Feb 18, 1997",3.36,49%,4.61,46%,1.54,35%,33%,0.9,Ange Loosa,The Last Ninja,Record: 10-4-0 (1 NC),"5' 10""",170 lbs.,"74""",Orthodox,"Mar 18, 1993",5.60,44%,6.68,53%,2.41,38%,83%,0.2
Leonardo Santos,Jared Gordon,UFC 278: Usman vs. Edwards,fighter2,http://ufcstats.com/fight-details/0cf7a4593fd44e59,Leonardo Santos,,Record: 18-7-1,"6' 0""",155 lbs.,"75""",Orthodox,"Feb 05, 1980",2.82,46%,3.40,54%,0.88,25%,86%,0.2,Jared Gordon,Flash,Record: 20-7-0 (1 NC),"5' 9""",155 lbs.,"68""",Orthodox,"Sep 06, 1988",5.75,55%,3.97,56%,1.78,31%,62%,0.0
Marcin Tybura,Alexandr Romanov,UFC 278: Usman vs. Edwards,fighter1,http://ufcstats.com/fight-details/e0b98f3cf4a7cc3b,Marcin Tybura,Tybur,Record: 26-9-0,"6' 3""",249 lbs.,"78""",Orthodox,"Nov 09, 1985",3.57,49%,3.26,55%,1.42,33%,77%,0.1,Alexandr Romanov,King Kong,Record: 18-3-0,"6' 2""",262 lbs.,"75""",Southpaw,"Dec 11, 1990",3.78,51%,2.13,54%,4.49,55%,28%,0.9
Tyson Pedro,Harry Hunsucker,UFC 278: Usman vs. Edwards,fighter1,http://ufcstats.com/fight-details/5abcf9f282983acc,Tyson Pedro,,Record: 10-5-0,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 17, 1991",2.90,59%,2.39,56%,0.76,30%,50%,0.8,Harry Hunsucker,The Hurricane,Record: 7-6-0,"6' 2""",205 lbs.,"75""",Orthodox,"Jan 03, 1989",3.54,52%,6.53,42%,0.00,0%,0%,2.0
Jose Aldo,Merab Dvalishvili,UFC 278: Usman vs. Edwards,fighter2,http://ufcstats.com/fight-details/2ac3ce1f62b3c4b9,Jose Aldo,,Record: 32-9-0,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",3.62,46%,3.72,60%,0.49,53%,92%,0.1,Merab Dvalishvili,The Machine,Record: 19-4-0,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991",4.36,42%,2.51,56%,5.89,35%,82%,0.3
Wu Yanan,Lucie Pudilova,UFC 278: Usman vs. Edwards,fighter2,http://ufcstats.com/fight-details/2cd9e3796be57a79,Wu Yanan,Mulan,Record: 13-6-0,"5' 8""",135 lbs.,"66""",Orthodox,"Apr 18, 1996",4.23,41%,4.95,49%,0.62,30%,63%,0.2,Lucie Pudilova,,Record: 14-10-0,"5' 8""",125 lbs.,"67""",Orthodox,"Jun 13, 1994",3.60,37%,4.07,50%,0.70,31%,67%,0.6
Michael Morales,Adam Fugitt,UFC 277: Pena vs. Nunes 2,fighter1,http://ufcstats.com/fight-details/e492dc60d8e44866,Michael Morales,,Record: 17-0-0,"6' 0""",170 lbs.,"79""",Orthodox,"Jun 24, 1999",5.42,48%,3.42,52%,1.16,41%,92%,0.0,Adam Fugitt,,Record: 10-4-0,"6' 1""",170 lbs.,"77""",Southpaw,"Jan 12, 1989",4.72,45%,4.48,51%,2.04,29%,50%,0.0
Paulo Costa,Luke Rockhold,UFC 278: Usman vs. Edwards,fighter1,http://ufcstats.com/fight-details/2de6652160cc7b9f,Paulo Costa,The Eraser,Record: 14-4-0,"6' 1""",185 lbs.,"72""",Orthodox,"Apr 21, 1991",6.22,58%,6.56,49%,0.36,75%,80%,0.0,Luke Rockhold,,Record: 16-6-0,"6' 3""",185 lbs.,"77""",Southpaw,"Oct 17, 1984",4.10,49%,2.68,53%,0.70,29%,65%,1.0
Don'Tale Mayes,Hamdy Abdelwahab,UFC 277: Pena vs. Nunes 2,,http://ufcstats.com/fight-details/5a2b86570110191b,Don'Tale Mayes,Lord Kong,Record: 11-8-0 (1 NC),"6' 6""",260 lbs.,"81""",Orthodox,"Jan 16, 1992",3.49,43%,3.77,46%,0.64,38%,57%,0.0,Hamdy Abdelwahab,The Hammer,Record: 6-0-0 (1 NC),"6' 2""",264 lbs.,"72""",Southpaw,"Jan 22, 1993",3.40,51%,3.87,51%,2.00,80%,100%,0.0
Kamaru Usman,Leon Edwards,UFC 278: Usman vs. Edwards,fighter2,http://ufcstats.com/fight-details/f70c817388602681,Kamaru Usman,The Nigerian Nightmare,Record: 20-4-0,"6' 0""",170 lbs.,"76""",Switch,"May 11, 1987",4.36,52%,2.74,54%,2.82,45%,89%,0.1,Leon Edwards,Rocky,Record: 22-4-0 (1 NC),"6' 2""",170 lbs.,"74""",Southpaw,"Aug 25, 1991",2.68,53%,2.37,53%,1.25,36%,65%,0.4
Drakkar Klose,Rafa Garcia,UFC 277: Pena vs. Nunes 2,fighter1,http://ufcstats.com/fight-details/189b9af881b96de6,Drakkar Klose,,Record: 15-3-1,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 09, 1988",4.33,55%,3.54,50%,1.65,27%,69%,0.0,Rafa Garcia,Gifted,Record: 16-4-0,"5' 7""",155 lbs.,"70""",Orthodox,"Aug 05, 1994",3.97,42%,4.36,61%,3.38,44%,75%,0.3
Derrick Lewis,Sergei Pavlovich,UFC 277: Pena vs. Nunes 2,fighter2,http://ufcstats.com/fight-details/52f87252af59e23b,Derrick Lewis,The Black Beast,Record: 28-12-0 (1 NC),"6' 3""",260 lbs.,"79""",Orthodox,"Feb 07, 1985",2.48,50%,2.48,40%,0.57,26%,52%,0.0,Sergei Pavlovich,,Record: 19-3-0,"6' 3""",257 lbs.,"84""",Southpaw,"May 13, 1992",4.54,43%,3.81,54%,0.63,40%,75%,0.0
Drew Dober,Rafael Alves,UFC 277: Pena vs. Nunes 2,fighter1,http://ufcstats.com/fight-details/81a18de517a3336a,Drew Dober,,Record: 27-14-0 (1 NC),"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",4.39,40%,4.25,51%,0.67,17%,56%,0.1,Rafael Alves,The Turn,Record: 20-12-0,"5' 8""",155 lbs.,"68""",Orthodox,"Nov 14, 1990",1.85,48%,3.30,58%,0.29,25%,44%,1.5
Alex Morono,Matthew Semelsberger,UFC 277: Pena vs. Nunes 2,fighter1,http://ufcstats.com/fight-details/579b5770129b328a,Alex Morono,The Great White,Record: 24-11-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990",4.96,40%,4.56,57%,0.34,25%,47%,0.3,Matthew Semelsberger,Semi The Jedi,Record: 11-8-0,"6' 1""",170 lbs.,"75""",Switch,"Nov 23, 1992",3.77,42%,4.24,54%,1.01,57%,45%,0.4
Magomed Ankalaev,Anthony Smith,UFC 277: Pena vs. Nunes 2,fighter1,http://ufcstats.com/fight-details/058c2724dec1add1,Magomed Ankalaev,,Record: 20-1-1 (1 NC),"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",3.64,52%,2.37,58%,0.92,31%,86%,0.0,Anthony Smith,Lionheart,Record: 38-21-0,"6' 4""",205 lbs.,"76""",Orthodox,"Jul 26, 1988",3.20,49%,4.88,45%,0.44,23%,50%,0.6
Alexandre Pantoja,Alex Perez,UFC 277: Pena vs. Nunes 2,fighter1,http://ufcstats.com/fight-details/96b62bd56b252bab,Alexandre Pantoja,The Cannibal,Record: 29-5-0,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990",4.41,50%,3.92,50%,2.74,47%,68%,0.9,Alex Perez,,Record: 25-9-0,"5' 6""",125 lbs.,"65""",Orthodox,"Mar 21, 1992",4.19,46%,3.20,58%,2.04,46%,77%,0.8
Brandon Moreno,Kai Kara-France,UFC 277: Pena vs. Nunes 2,fighter1,http://ufcstats.com/fight-details/5a1ce88ec1f75160,Brandon Moreno,The Assassin Baby,Record: 22-8-2,"5' 7""",125 lbs.,"70""",Orthodox,"Dec 07, 1993",3.99,43%,3.53,60%,1.59,46%,64%,0.4,Kai Kara-France,Don't Blink,Record: 25-11-0 (1 NC),"5' 4""",125 lbs.,"69""",Orthodox,"Mar 26, 1993",4.56,39%,3.22,65%,0.61,33%,88%,0.0
Mayra Bueno Silva,Stephanie Egger,UFC Fight Night: Santos vs. Hill,fighter1,http://ufcstats.com/fight-details/a274ed04c36d40d4,Mayra Bueno Silva,Sheetara,Record: 10-5-1 (1 NC),"5' 6""",125 lbs.,"66""",Orthodox,"Aug 22, 1991",3.83,58%,4.85,51%,0.57,29%,63%,1.5,Stephanie Egger,,Record: 8-5-0,"5' 6""",135 lbs.,"68""",Orthodox,"Aug 12, 1988",2.20,46%,2.48,52%,2.48,42%,50%,0.6
Cory McKenna,Miranda Granger,UFC Fight Night: Santos vs. Hill,fighter1,http://ufcstats.com/fight-details/b5274277ef6707c9,Cory McKenna,Poppins,Record: 8-4-0,"5' 3""",115 lbs.,"58""",Orthodox,"Jul 11, 1999",2.94,38%,3.68,46%,2.00,47%,75%,0.4,Miranda Granger,Danger,Record: 7-3-0,"5' 7""",115 lbs.,"68""",Orthodox,"Apr 13, 1992",2.79,47%,2.57,57%,0.00,0%,33%,0.0
Sam Alvey,Michal Oleksiejczuk,UFC Fight Night: Santos vs. Hill,fighter2,http://ufcstats.com/fight-details/eda397c27787afa4,Sam Alvey,Smile'N,Record: 33-18-1 (1 NC),"6' 2""",185 lbs.,"75""",Southpaw,"May 06, 1986",3.28,44%,3.63,52%,0.06,14%,82%,0.1,Michal Oleksiejczuk,Hussar,Record: 19-9-0 (1 NC),"6' 0""",185 lbs.,"74""",Southpaw,"Feb 22, 1995",5.08,50%,4.61,58%,1.08,43%,48%,0.0
Julianna Pena,Amanda Nunes,UFC 277: Pena vs. Nunes 2,fighter2,http://ufcstats.com/fight-details/72c3e5eacde4f0e5,Julianna Pena,The Venezuelan Vixen,Record: 13-5-0,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 19, 1989",3.25,44%,2.53,57%,1.81,56%,23%,0.8,Amanda Nunes,The Lioness,Record: 23-5-0,"5' 8""",135 lbs.,"69""",Orthodox,"May 30, 1988",4.55,51%,2.62,57%,2.73,54%,82%,0.7
Augusto Sakai,Serghei Spivac,UFC Fight Night: Santos vs. Hill,fighter2,http://ufcstats.com/fight-details/044d210d7b1eb519,Augusto Sakai,,Record: 16-5-1,"6' 3""",265 lbs.,"77""",Orthodox,"May 09, 1991",4.60,49%,3.83,48%,0.23,40%,56%,0.0,Serghei Spivac,Polar Bear,Record: 17-5-0,"6' 3""",260 lbs.,"78""",Orthodox,"Jan 24, 1995",3.49,49%,3.77,48%,4.56,65%,63%,0.6
Bryan Battle,Takashi Sato,UFC Fight Night: Santos vs. Hill,fighter1,http://ufcstats.com/fight-details/4adef20ce69217be,Bryan Battle,The Butcher,Record: 13-2-0 (1 NC),"6' 1""",170 lbs.,"77""",Orthodox,"Sep 21, 1994",5.12,52%,4.11,44%,0.77,17%,53%,0.4,Takashi Sato,Ten,Record: 16-7-0,"5' 10""",170 lbs.,"73""",Southpaw,"Jun 09, 1990",2.21,41%,3.73,44%,0.76,37%,60%,0.0
Terrance McKinney,Erick Gonzalez,UFC Fight Night: Santos vs. Hill,fighter1,http://ufcstats.com/fight-details/b530bb13aac1e48b,Terrance McKinney,T. Wrecks,Record: 16-7-0,"5' 10""",155 lbs.,"73""",Switch,"Sep 15, 1994",5.91,56%,2.59,47%,3.23,36%,77%,1.4,Erick Gonzalez,The Ghost Pepper,Record: 14-8-0,"5' 11""",155 lbs.,"75""",Orthodox,"Jan 20, 1992",2.40,36%,8.08,40%,6.00,55%,50%,0.0
Brogan Walker,Juliana Miller,UFC Fight Night: Santos vs. Hill,fighter2,http://ufcstats.com/fight-details/2b11aa4b90b1dd41,Brogan Walker,The Bear,Record: 8-4-0,"5' 4""",125 lbs.,"67""",Switch,"Aug 02, 1988",2.04,30%,3.70,47%,0.00,0%,11%,0.0,Juliana Miller,Killer,Record: 4-3-0,"5' 7""",125 lbs.,"66""",Orthodox,"May 07, 1996",3.31,45%,4.75,32%,1.84,44%,0%,1.8
Thiago Santos,Jamahal Hill,UFC Fight Night: Santos vs. Hill,fighter2,http://ufcstats.com/fight-details/a8bc6e005077bb0b,Thiago Santos,Marreta,Record: 22-11-0,"6' 2""",205 lbs.,"76""",Orthodox,"Jan 07, 1984",3.72,48%,2.57,53%,0.88,33%,65%,0.1,Jamahal Hill,Sweet Dreams,Record: 12-3-0 (1 NC),"6' 4""",205 lbs.,"79""",Southpaw,"May 19, 1991",7.05,53%,4.02,45%,0.00,0%,73%,0.0
Vicente Luque,Geoff Neal,UFC Fight Night: Santos vs. Hill,fighter2,http://ufcstats.com/fight-details/a6b328733d610e2b,Vicente Luque,The Silent Assassin,Record: 23-10-1,"5' 11""",170 lbs.,"75""",Orthodox,"Nov 27, 1991",5.05,51%,5.22,52%,0.99,53%,62%,0.7,Geoff Neal,Handz of Steel,Record: 16-6-0,"5' 11""",170 lbs.,"75""",Southpaw,"Aug 28, 1990",5.05,51%,5.44,57%,0.56,50%,87%,0.1
